GroupName,Iteration,TestCaseID,TransactionType,TestCaseDesription,StartDate,EndDate,Status,Description,Screenshot,Quote Number
"URBAN","","HO_Rating_TC8","Issuance","Create Dwelling Fire Full Quote","2019/01/15 21:36:17","2019/01/15 21:38:19","PASS","","",""
"URBAN","","HO_Rating_TC8","MakeDownPayment","Create Dwelling Fire Full Quote","2019/01/15 21:38:19","2019/01/15 21:39:37","PASS","","",""
"CloseAndLaunchBrowser","","CloseAndLaunchBrowser","CloseAndLaunchBrowser","CloseAndLaunchBrowser","2019/01/15 21:39:37","2019/01/15 21:39:46","PASS","","",""
"URBAN","","HO_Rating_TC9","Login","Create Dwelling Fire Full Quote","2019/01/15 21:39:46","2019/01/15 21:39:50","PASS","","",""
"URBAN","","HO_Rating_TC9","CreateQuotePolicy","Create Dwelling Fire Full Quote","2019/01/15 21:39:50","2019/01/15 21:40:15","PASS","","",""
"URBAN","","HO_Rating_TC9","ProductInformation","Create Dwelling Fire Full Quote","2019/01/15 21:40:15","2019/01/15 21:42:31","PASS","","",""
"URBAN","","HO_Rating_TC9","PropertyDetails","Create Dwelling Fire Full Quote","2019/01/15 21:42:31","2019/01/15 21:44:50","PASS","","",""
"URBAN","","HO_Rating_TC9","RenovationDetails","Create Dwelling Fire Full Quote","2019/01/15 21:44:51","2019/01/15 21:45:41","PASS","","",""
"URBAN","","HO_Rating_TC9","Next","Create Dwelling Fire Full Quote","2019/01/15 21:45:41","2019/01/15 21:45:53","PASS","","",""
"URBAN","","HO_Rating_TC9","CoverageDetails","Create Dwelling Fire Full Quote","2019/01/15 21:45:53","2019/01/15 21:47:13","PASS","","",""
"URBAN","","HO_Rating_TC9","Next","Create Dwelling Fire Full Quote","2019/01/15 21:47:13","2019/01/15 21:47:24","PASS","","",""
"URBAN","","HO_Rating_TC9","OptionalCoverageDetails","Create Dwelling Fire Full Quote","2019/01/15 21:47:24","2019/01/15 21:48:23","PASS","","",""
"URBAN","","HO_Rating_TC9","OptionalCoverageDetails_1","Create Dwelling Fire Full Quote","2019/01/15 21:48:23","2019/01/15 21:49:23","PASS","","",""
"URBAN","","HO_Rating_TC9","OptionalCoverageDetails_1","Create Dwelling Fire Full Quote","2019/01/15 21:49:23","2019/01/15 21:49:54","PASS","","",""
"URBAN","","HO_Rating_TC9","OptionalCoverageDetails_2","Create Dwelling Fire Full Quote","2019/01/15 21:49:54","2019/01/15 21:50:47","PASS","","",""
"URBAN","","HO_Rating_TC9","OptionalCoverageDetails_3","Create Dwelling Fire Full Quote","2019/01/15 21:50:47","2019/01/15 21:52:19","PASS","","",""
